# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	18540
#@/user_id	6b7ea6f5-52f9-45c1-9d3f-d367721ba4bb
a 	啊	c=105 d=0.0106531 t=18540
a er fa 	阿爾法	c=1 d=2.7333e-06 t=18540
a ha 	啊哈	c=1 d=2.30474e-29 t=18540
a ka 	阿卡	c=0 d=2.65289e-38 t=18540
a ka xi 	阿卡西	c=1 d=2.66618e-37 t=18540
a la bo yu 	阿拉伯語	c=1 d=6.82538e-37 t=18540
a li 	阿里	c=0 d=8.00694e-34 t=18540
a li yun 	阿里雲	c=1 d=8.04707e-33 t=18540
ai 	唉	c=8 d=1.15026e-26 t=18540
ai 	愛	c=3 d=2.2538e-26 t=18540
ai 	艾	c=2 d=2.32189e-28 t=18540
ai hao zhe 	愛好者	c=1 d=5.47563e-33 t=18540
ai ni 	愛你	c=1 d=8.29496e-37 t=18540
ai qing 	愛情	c=1 d=3.81957e-31 t=18540
ai zi bing 	艾滋病	c=1 d=1.72426e-27 t=18540
an 	安	c=2 d=3.79277e-07 t=18540
an 	按	c=2 d=5.52809e-05 t=18540
an dong 	安東	c=1 d=2.98391e-38 t=18540
an jing 	安靜	c=1 d=7.84572e-29 t=18540
an quan 	安全	c=28 d=0.000802234 t=18540
an quan xing 	安全性	c=1 d=1.70009e-08 t=18540
an wang 	暗網	c=4 d=3.22289e-32 t=18540
an zhao 	按照	c=9 d=0.0309358 t=18540
an zhuang 	安裝	c=52 d=0.000373613 t=18540
an zhuo 	安卓	c=3 d=1.18681e-05 t=18540
ao da li ya 	澳大利亞	c=2 d=0.00164502 t=18540
ba 	八	c=1 d=1.62639e-16 t=18540
ba 	吧	c=57 d=0.859004 t=18540
ba 	把	c=19 d=5.69406e-06 t=18540
ba 	靶	c=7 d=1.62607e-17 t=18540
ba chang 	靶場	c=1 d=8.76397e-37 t=18540
ba da tong 	八達通	c=2 d=3.79585e-38 t=18540
ba dian ban 	八點半	c=1 d=3.20473e-25 t=18540
ba ji 	吧唧	c=1 d=6.95261e-19 t=18540
ba ji 	靶機	c=4 d=6.90532e-06 t=18540
ba li 	巴黎	c=1 d=3.86597e-26 t=18540
ba ni 	把你	c=1 d=1.71391e-15 t=18540
bai 	白	c=2 d=1.54035e-07 t=18540
bai du 	百度	c=4 d=5.09747e-07 t=18540
bai du yun 	百度雲	c=1 d=8.08053e-23 t=18540
bai e luo si 	白俄羅斯	c=1 d=4.65809e-13 t=18540
bai gong 	白宮	c=6 d=2.73609e-08 t=18540
bai nian 	百年	c=1 d=0.00132016 t=18540
bai piao dang 	白嫖黨	c=1 d=5.51545e-30 t=18540
ban 	半	c=1 d=2.32394e-09 t=18540
ban 	版	c=1 d=2.65749e-28 t=18540
ban 	辦	c=1 d=1.80485e-35 t=18540
ban ben 	版本	c=26 d=0.00906115 t=18540
ban ben zhong 	版本中	c=1 d=1.93842e-22 t=18540
ban fa 	辦法	c=6 d=2.69709e-07 t=18540
ban jia 	搬家	c=1 d=0.548812 t=18540
ban li 	辦理	c=8 d=7.9068e-32 t=18540
ban quan 	版權	c=2 d=0.0385042 t=18540
ban tian 	半天	c=1 d=0.0116786 t=18540
ban ye 	半夜	c=2 d=2.56699e-32 t=18540
bang 	棒	c=2 d=7.36222e-16 t=18540
bang ding 	綁定	c=1 d=2.02764e-22 t=18540
bang ding ka 	綁定卡	c=1 d=7.59677e-32 t=18540
bang ji le 	棒極了	c=1 d=2.23085e-28 t=18540
bang ni 	幫你	c=1 d=4.68049e-40 t=18540
bang wo 	幫我	c=1 d=3.69649e-28 t=18540
bang zhu 	幫助	c=8 d=0.0309977 t=18540
bao 	包	c=13 d=0.718924 t=18540
bao 	寶	c=0 d=9.83373e-40 t=18540
bao 	抱	c=1 d=5.93067e-31 t=18540
bao 	爆	c=1 d=0.0042963 t=18540
bao bu zhu 	保不住	c=1 d=6.43468e-20 t=18540
bao chao 	爆炒	c=1 d=5.71793e-13 t=18540
bao chi 	保持	c=1 d=8.50378e-06 t=18540
bao cun 	保存	c=10 d=1.33431e-08 t=18540
bao cuo 	報錯	c=4 d=1.30174e-11 t=18540
bao da tui 	包大腿	c=1 d=5.90109e-31 t=18540
bao gao 	報告	c=5 d=0.0225094 t=18540
bao han 	包含	c=11 d=1.91228e-09 t=18540
bao hu 	保護	c=10 d=0.0891518 t=18540
bao jie 	保潔	c=1 d=1.1086e-07 t=18540
bao kuo 	包括	c=1 d=3.5953e-25 t=18540
bao li 	暴力	c=8 d=0.0518009 t=18540
bao nian 	包年	c=1 d=5.17011e-34 t=18540
bao nuan 	保暖	c=1 d=7.97107e-39 t=18540
bao po 	爆破	c=10 d=0.00421191 t=18540
bao qian 	抱歉	c=4 d=3.01672e-33 t=18540
bao ta 	寶塔	c=2 d=1.50919e-19 t=18540
bao wen 	報文	c=7 d=1.45296e-13 t=18540
bao xian 	保險	c=4 d=1.75333e-21 t=18540
bao zhang 	保障	c=3 d=5.17946e-35 t=18540
bao zhang jin 	保障金	c=3 d=5.50265e-35 t=18540
bao zheng 	保證	c=9 d=0.184542 t=18540
bao zheng jin 	保證金	c=11 d=1.6257e-34 t=18540
bao zhi 	報紙	c=2 d=6.74911e-38 t=18540
bei 	北	c=1 d=1.16279e-39 t=18540
bei 	唄	c=10 d=1.90062e-11 t=18540
bei 	背	c=2 d=9.38717e-37 t=18540
bei 	被	c=23 d=0.0584857 t=18540
bei an 	備案	c=3 d=0.000493418 t=18540
bei bao 	背包	c=1 d=1.26268e-38 t=18540
bei fen 	備份	c=3 d=0.107698 t=18540
bei hai dao 	北海道	c=1 d=4.58952e-15 t=18540
bei hou 	背後	c=2 d=0.0424257 t=18540
bei jing 	北京	c=1 d=5.27096e-26 t=18540
bei jing 	背景	c=2 d=1.08123e-07 t=18540
bei shang 	悲傷	c=1 d=7.8947e-14 t=18540
bei yong 	備用	c=1 d=1.90891e-18 t=18540
ben 	本	c=12 d=0.214234 t=18540
ben ci 	本次	c=1 d=4.01895e-12 t=18540
ben di 	本地	c=3 d=0.000149987 t=18540
ben jin 	本金	c=4 d=9.83017e-35 t=18540
ben ke 	本科	c=6 d=4.72618e-27 t=18540
ben lai 	本來	c=3 d=4.5769e-12 t=18540
ben qi 	本期	c=1 d=3.9176e-35 t=18540
ben qun 	本群	c=5 d=8.88158e-05 t=18540
ben shu 	本書	c=4 d=0.232938 t=18540
ben wen 	本文	c=1 d=2.96912e-09 t=18540
ben zhan 	本站	c=11 d=0.868771 t=18540
ben zi 	本子	c=1 d=1.88439e-13 t=18540
beng 	崩	c=2 d=1.25296e-06 t=18540
bi 	比	c=2 d=3.78362e-08 t=18540
bi 	筆	c=2 d=8.34675e-22 t=18540
bi bei 	必備	c=4 d=3.37202e-06 t=18540
bi ci 	彼此	c=1 d=4.42023e-14 t=18540
bi fang 	比方	c=3 d=1.12584e-35 t=18540
bi he 	閉合	c=2 d=1.18966e-06 t=18540
bi hu 	庇護	c=1 d=0.00315111 t=18540
bi ji 	筆記	c=3 d=1.85589e-12 t=18540
bi ji ben 	筆記本	c=1 d=9.21487e-39 t=18540
bi jiao 	比較	c=2 d=1.06437e-28 t=18540
bi mian 	避免	c=2 d=1.16022e-13 t=18540
bi ru 	比如	c=21 d=4.82532e-06 t=18540
bi sai 	比賽	c=1 d=1.15263e-24 t=18540
bi wo 	比我	c=1 d=1.23066e-30 t=18540
bi xu 	必須	c=6 d=1.06789e-08 t=18540
bi xu shuo 	必須說	c=1 d=1.8274e-34 t=18540
bi yao 	必要	c=1 d=1.22369e-22 t=18540
bi ye 	畢業	c=1 d=2.68657e-27 t=18540
bi ye hou 	畢業后	c=1 d=4.52581e-27 t=18540
bi ye zheng 	畢業證	c=1 d=5.48701e-28 t=18540
bi zhi 	壁紙	c=6 d=1.6494e-06 t=18540
bian 	便	c=1 d=1.11431e-38 t=18540
bian 	遍	c=2 d=5.10822e-10 t=18540
bian 	邊	c=1 d=2.68146e-16 t=18540
bian cheng 	編程	c=6 d=0.0330412 t=18540
bian cheng 	變成	c=8 d=6.08722e-14 t=18540
bian hao 	編號	c=1 d=2.35498e-18 t=18540
bian hu 	辯護	c=1 d=8.21243e-37 t=18540
bian hua 	變化	c=2 d=9.85951e-11 t=18540
bian ji 	編輯	c=1 d=2.89621e-40 t=18540
bian ji qi 	編輯器	c=3 d=0.108239 t=18540
bian li 	遍歷	c=1 d=1.9175e-12 t=18540
bian liang 	變量	c=22 d=0.100423 t=18540
bian ma 	編碼	c=3 d=4.6437e-06 t=18540
bian ren 	辨認	c=1 d=3.47707e-14 t=18540
bian tai 	變態	c=2 d=4.69276e-12 t=18540
bian xie 	編寫	c=4 d=0.00017956 t=18540
bian yi 	編譯	c=4 d=9.10275e-25 t=18540
biao 	標	c=1 d=1.62164e-11 t=18540
biao 	表	c=3 d=0.00559027 t=18540
biao bai 	表白	c=1 d=0.00412784 t=18540
biao da 	表達	c=1 d=1.02846e-36 t=18540
biao da shi 	表達式	c=1 d=6.41261e-09 t=18540
biao dan 	表單	c=2 d=3.23198e-07 t=18540
biao ge 	表格	c=1 d=1.93171e-40 t=18540
biao ji 	標記	c=1 d=9.87966e-35 t=18540
biao ju 	鏢局	c=1 d=1.14809e-07 t=18540
biao mei 	表妹	c=1 d=2.52874e-32 t=18540
biao qian 	標籤	c=1 d=3.36904e-25 t=18540
biao shi 	表示	c=7 d=0.00107227 t=18540
biao ti 	標題	c=10 d=0.000391838 t=18540
biao tou 	標頭	c=1 d=1.42003e-08 t=18540
biao yan 	表演	c=1 d=9.05916e-15 t=18540
bie 	別	c=6 d=4.78675e-10 t=18540
bie mai 	別買	c=1 d=7.06369e-29 t=18540
bie qu 	別去	c=1 d=0.00146632 t=18540
bie ren 	別人	c=7 d=6.75769e-08 t=18540
bie shuo 	別說	c=1 d=8.05007e-08 t=18540
bie tai kuai 	別太快	c=1 d=4.37313e-35 t=18540
bie wen 	別問	c=0 d=8.51102e-17 t=18540
bie wen wo 	別問我	c=1 d=8.55368e-16 t=18540
bing 	兵	c=3 d=2.39768e-07 t=18540
bing du 	病毒	c=21 d=9.86012e-05 t=18540
bing leng 	冰冷	c=1 d=0.554327 t=18540
bing mei you 	並沒有	c=1 d=3.74139e-23 t=18540
bing qie 	並且	c=11 d=0.00565622 t=18540
bo 	博	c=1 d=1.77677e-27 t=18540
bo 	波	c=1 d=3.72729e-08 t=18540
bo fang 	播放	c=1 d=4.74896e-05 t=18540
bo fang qi 	播放器	c=1 d=3.11753e-24 t=18540
bo ke 	博客	c=4 d=3.11276e-06 t=18540
bu 	不	c=39 d=0.446271 t=18540
bu 	部	c=1 d=7.05145e-38 t=18540
bu an quan 	不安全	c=2 d=1.16015e-16 t=18540
bu bei 	不被	c=1 d=2.22093e-05 t=18540
bu cha 	不差	c=1 d=1.86628e-17 t=18540
bu chong 	補充	c=4 d=8.35349e-06 t=18540
bu cun 	不存	c=1 d=1.70385e-34 t=18540
bu cun zai 	不存在	c=1 d=4.05438e-27 t=18540
bu cuo 	不錯	c=21 d=0.782924 t=18540
bu cuo a 	不錯啊	c=1 d=4.85645e-33 t=18540
bu da 	不大	c=2 d=2.19084e-21 t=18540
bu da suan 	不打算	c=2 d=7.74819e-25 t=18540
bu dao 	不到	c=1 d=1.83281e-11 t=18540
bu dao qian 	不到錢	c=1 d=1.842e-10 t=18540
bu de 	不得	c=1 d=1.92809e-18 t=18540
bu deng yu 	不等於	c=1 d=8.62908e-31 t=18540
bu ding 	補丁	c=2 d=0.0134114 t=18540
bu dong 	不動	c=1 d=1.08362e-33 t=18540
bu dong 	不懂	c=2 d=3.34415e-26 t=18540
bu dui 	不對	c=3 d=4.1598e-22 t=18540
bu fa 	步伐	c=1 d=4.35442e-14 t=18540
bu fang bian 	不方便	c=1 d=8.78665e-38 t=18540
bu fu he 	不符合	c=1 d=8.05118e-39 t=18540
bu gan 	不敢	c=1 d=2.91479e-27 t=18540
bu gan zuo 	不敢做	c=1 d=4.13417e-21 t=18540
bu gao 	不高	c=1 d=1.01456e-23 t=18540
bu gou 	不夠	c=4 d=8.43663e-30 t=18540
bu guo 	不過	c=9 d=0.000187825 t=18540
bu hao 	不好	c=6 d=0.00312687 t=18540
bu hao gao 	不好搞	c=1 d=7.72891e-29 t=18540
bu hao wan 	不好玩	c=1 d=9.11077e-23 t=18540
bu hao yi si 	不好意思	c=1 d=3.58297e-14 t=18540
bu hao yong 	不好用	c=3 d=2.39553e-13 t=18540
bu hao zuo 	不好做	c=1 d=7.08461e-05 t=18540
bu hui 	不會	c=20 d=4.27199e-10 t=18540
bu ji 	不急	c=2 d=2.52745e-26 t=18540
bu ji ji 	不積極	c=1 d=4.06487e-28 t=18540
bu jian de 	不見得	c=1 d=1.1562e-31 t=18540
bu jian yi 	不建議	c=4 d=5.24654e-15 t=18540
bu jie yi 	不介意	c=1 d=1.55482e-16 t=18540
bu jin 	不僅	c=1 d=3.27225e-35 t=18540
bu jing qi 	不景氣	c=1 d=6.4137e-11 t=18540
bu jiu 	不久	c=0 d=5.85949e-37 t=18540
bu jiu 	不就	c=1 d=1.31514e-17 t=18540
bu jiu hou 	不久後	c=2 d=5.23244e-35 t=18540
bu kai 	不開	c=1 d=2.00399e-31 t=18540
bu ke 	不可	c=1 d=9.04346e-24 t=18540
bu ke yi 	不可以	c=1 d=0.00319873 t=18540
bu lai 	不來	c=1 d=8.33681e-08 t=18540
bu li jie 	不理解	c=1 d=1.31694e-33 t=18540
bu li mao 	不禮貌	c=1 d=7.83504e-13 t=18540
bu mai 	不買	c=1 d=6.28008e-28 t=18540
bu nan 	不難	c=4 d=8.16553e-22 t=18540
bu neng 	不能	c=20 d=1.001e-06 t=18540
bu qi 	不起	c=1 d=1.76761e-26 t=18540
bu qing chu 	不清楚	c=3 d=2.52444e-12 t=18540
bu qu 	不去	c=3 d=2.31321e-13 t=18540
bu que ding 	不確定	c=1 d=8.27241e-05 t=18540
bu ran 	不然	c=2 d=3.21193e-22 t=18540
bu rang 	不讓	c=1 d=5.13382e-10 t=18540
bu ren shi 	不認識	c=2 d=1.17759e-34 t=18540
bu ru 	不如	c=1 d=1.67763e-28 t=18540
bu shan chang 	不擅長	c=1 d=6.23813e-08 t=18540
bu shang 	不上	c=1 d=2.62649e-37 t=18540
bu sheng xiao 	不生效	c=1 d=4.28886e-12 t=18540
bu shi 	不是	c=33 d=0.815003 t=18540
bu shi he 	不適合	c=1 d=1.9579e-22 t=18540
bu shu 	部署	c=2 d=2.89358e-24 t=18540
bu shu xi 	不熟悉	c=1 d=1.24947e-32 t=18540
bu tai 	不太	c=7 d=0.510964 t=18540
bu tai dong 	不太懂	c=1 d=5.35244e-30 t=18540
bu tai dui 	不太對	c=1 d=1.9885e-28 t=18540
bu tai gao 	不太高	c=1 d=1.64581e-38 t=18540
bu tai qing chu 	不太清楚	c=1 d=5.32484e-28 t=18540
bu tai quan mian 	不太全面	c=1 d=7.85131e-08 t=18540
bu tong 	不同	c=7 d=1.64984e-08 t=18540
bu tui jian 	不推薦	c=1 d=6.39258e-31 t=18540
bu wan 	不玩	c=1 d=8.05692e-18 t=18540
bu wan zheng 	不完整	c=1 d=3.09608e-31 t=18540
bu wen ding 	不穩定	c=1 d=1.70977e-16 t=18540
bu xi huan 	不喜歡	c=3 d=2.31196e-07 t=18540
bu xiang 	不想	c=2 d=1.01144e-16 t=18540
bu xiang qu 	不想去	c=2 d=1.29424e-05 t=18540
bu xing 	不行	c=18 d=0.752014 t=18540
bu xu yao 	不需要	c=4 d=4.02988e-11 t=18540
bu yao 	不要	c=14 d=0.00563912 t=18540
bu yao qian 	不要錢	c=1 d=7.1274e-17 t=18540
bu yao zai 	不要在	c=1 d=2.73414e-39 t=18540
bu yi 	不一	c=1 d=1.71718e-08 t=18540
bu yi ding 	不一定	c=4 d=4.90013e-17 t=18540
bu yi yang 	不一樣	c=1 d=3.46327e-26 t=18540
bu yi zhi 	不一致	c=1 d=3.21084e-18 t=18540
bu ying gai 	不應該	c=1 d=1.90268e-09 t=18540
bu yong 	不用	c=16 d=8.3583e-07 t=18540
bu yong guan 	不用管	c=1 d=5.60071e-34 t=18540
bu yuan chu 	不遠處	c=1 d=2.88981e-14 t=18540
bu za yong 	不咋用	c=2 d=0.771052 t=18540
bu zai 	不再	c=1 d=2.59999e-35 t=18540
bu zai 	不在	c=5 d=9.09837e-07 t=18540
bu zai xian 	不在線	c=1 d=1.08739e-15 t=18540
bu zai yu duo 	不再愈多	c=1 d=8.76546e-39 t=18540
bu zhao ji 	不着急	c=1 d=3.97207e-21 t=18540
bu zhi chi 	不支持	c=1 d=0.167797 t=18540
bu zhi dao 	不知道	c=12 d=3.36229e-10 t=18540
bu zhi er yu 	不治而愈	c=1 d=1.87819e-33 t=18540
bu zhi xing 	不執行	c=1 d=7.93292e-12 t=18540
bu zhi yi ti 	不值一提	c=1 d=0.000205513 t=18540
bu zhong yao 	不重要	c=2 d=1.7655e-11 t=18540
bu zhou 	步驟	c=3 d=0.0163259 t=18540
bu zhua 	不抓	c=1 d=8.50206e-33 t=18540
bu zu 	不足	c=1 d=3.6718e-08 t=18540
bu zuan qian 	不鑽錢	c=1 d=1.64357e-22 t=18540
bu zuo 	不做	c=3 d=6.84792e-05 t=18540
ca 	擦	c=1 d=7.92187e-25 t=18540
cai 	才	c=8 d=1.09586e-13 t=18540
cai 	猜	c=1 d=3.33437e-29 t=18540
cai 	菜	c=2 d=0.0317456 t=18540
cai chan 	財產	c=1 d=3.24918e-40 t=18540
cai dan 	菜單	c=1 d=3.14405e-06 t=18540
cai dao 	菜刀	c=2 d=2.47319e-06 t=18540
cai ji 	採集	c=2 d=1.41759e-38 t=18540
cai ke yi 	纔可以	c=1 d=9.17389e-16 t=18540
cai liao 	材料	c=2 d=4.79995e-13 t=18540
cai wu 	財務	c=1 d=7.98762e-34 t=18540
cai zhi dao 	才知道	c=2 d=0.0117371 t=18540
can jia 	參加	c=5 d=1.41583e-21 t=18540
can kao 	參考	c=3 d=0.0141368 t=18540
can shu 	參數	c=9 d=0.00337689 t=18540
can yi yuan 	參議院	c=1 d=0.0105672 t=18540
can zhao 	參照	c=4 d=5.69039e-19 t=18540
cang 	藏	c=1 d=1.6535e-34 t=18540
cang hai 	滄海	c=4 d=7.96636e-26 t=18540
cang ku 	倉庫	c=2 d=7.96158e-25 t=18540
cao chang shang 	操場上	c=1 d=1.29799e-39 t=18540
cao zuo 	操作	c=14 d=0.0359012 t=18540
ce 	測	c=2 d=4.95725e-10 t=18540
ce lve 	策略	c=1 d=0.000143382 t=18540
ce shi 	測試	c=68 d=0.43798 t=18540
ceng jing 	曾經	c=3 d=3.05476e-20 t=18540
cha 	差	c=1 d=3.80258e-08 t=18540
cha 	插	c=2 d=1.524e-33 t=18540
cha 	查	c=2 d=4.87762e-19 t=18540
cha 	茶	c=1 d=2.60354e-22 t=18540
cha bu duo 	差不多	c=2 d=5.0985e-17 t=18540
cha cha 	查查	c=2 d=0.00878245 t=18540
cha dao 	查到	c=1 d=1.0712e-15 t=18540
cha de 	查的	c=0 d=2.09665e-05 t=18540
cha de dao 	查的到	c=1 d=0.000210716 t=18540
cha jia 	差價	c=1 d=3.60767e-36 t=18540
cha jian 	插件	c=11 d=7.43947e-06 t=18540
cha kan 	查看	c=17 d=0.0218879 t=18540
cha ru 	插入	c=11 d=0.0719488 t=18540
cha tou 	插頭	c=1 d=9.68733e-39 t=18540
cha xun 	查詢	c=10 d=0.000966026 t=18540
cha zhao 	查找	c=2 d=0.000614341 t=18540
chai 	柴	c=1 d=2.44343e-40 t=18540
chan pin 	產品	c=3 d=9.12192e-08 t=18540
chan sheng 	產生	c=2 d=4.6325e-07 t=18540
chang 	常	c=1 d=2.39717e-21 t=18540
chang 	長	c=1 d=1.41656e-38 t=18540
chang de 	常德	c=1 d=1.95857e-26 t=18540
chang du 	長度	c=4 d=0.00223374 t=18540
chang fa 	長髮	c=2 d=3.66014e-29 t=18540
chang jian 	常見	c=8 d=0.229261 t=18540
chang jian yu 	常見於	c=1 d=9.86286e-15 t=18540
chang jing 	場景	c=2 d=0.0166557 t=18540
chang ku 	長褲	c=1 d=8.89793e-39 t=18540
chang kuan 	長寬	c=0 d=1.34748e-39 t=18540
chang kuan gao 	長寬高	c=1 d=1.35423e-38 t=18540
