# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	18556
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=105 d=0.0106531 t=18556
a er fa 	阿爾法	c=1 d=2.7333e-06 t=18556
a ha 	啊哈	c=1 d=2.30474e-29 t=18556
a ka 	阿卡	c=0 d=2.65289e-38 t=18556
a ka xi 	阿卡西	c=1 d=2.66618e-37 t=18556
a la bo yu 	阿拉伯語	c=1 d=6.82538e-37 t=18556
a li 	阿里	c=0 d=8.00694e-34 t=18556
a li yun 	阿里雲	c=1 d=8.04707e-33 t=18556
ai 	唉	c=8 d=1.15026e-26 t=18556
ai 	愛	c=3 d=2.2538e-26 t=18556
ai 	艾	c=2 d=2.32189e-28 t=18556
ai hao zhe 	愛好者	c=1 d=5.47563e-33 t=18556
ai ni 	愛你	c=1 d=8.29496e-37 t=18556
ai qing 	愛情	c=1 d=3.81957e-31 t=18556
ai zi bing 	艾滋病	c=1 d=1.72426e-27 t=18556
an 	安	c=2 d=3.79277e-07 t=18556
an 	按	c=2 d=5.52809e-05 t=18556
an dong 	安東	c=1 d=2.98391e-38 t=18556
an jing 	安靜	c=1 d=7.84572e-29 t=18556
an quan 	安全	c=28 d=0.000802234 t=18556
an quan xing 	安全性	c=1 d=1.70009e-08 t=18556
an wang 	暗網	c=4 d=3.22289e-32 t=18556
an zhao 	按照	c=9 d=0.0309358 t=18556
an zhuang 	安裝	c=53 d=0.990406 t=18556
an zhuo 	安卓	c=3 d=1.18681e-05 t=18556
ao da li ya 	澳大利亞	c=2 d=0.00164502 t=18556
ba 	八	c=1 d=1.62639e-16 t=18556
ba 	吧	c=57 d=0.859004 t=18556
ba 	把	c=19 d=5.69406e-06 t=18556
ba 	靶	c=7 d=1.62607e-17 t=18556
ba chang 	靶場	c=1 d=8.76397e-37 t=18556
ba da tong 	八達通	c=2 d=3.79585e-38 t=18556
ba dian ban 	八點半	c=1 d=3.20473e-25 t=18556
ba ji 	吧唧	c=1 d=6.95261e-19 t=18556
ba ji 	靶機	c=4 d=6.90532e-06 t=18556
ba li 	巴黎	c=1 d=3.86597e-26 t=18556
ba ni 	把你	c=1 d=1.71391e-15 t=18556
bai 	白	c=2 d=1.54035e-07 t=18556
bai du 	百度	c=4 d=5.09747e-07 t=18556
bai du yun 	百度雲	c=1 d=8.08053e-23 t=18556
bai e luo si 	白俄羅斯	c=1 d=4.65809e-13 t=18556
